Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Heat_of_Combustion,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,Autoignition_Point,Flashpoint,DOT_Hazard_Class,DOT_Numbers,EU_Number,NFPA_Fire_Rating,NFPA_Health_Rating,NFPA_Reactivity_Rating,RTECS_Number,Alternate_Names,Block,Group,Period,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Gmelin_Number,NSC_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Graph.Period,Graph.Group
Hydrogen,H,1,1.00794,0.0899,14.01,20.28,Gas,14.01,20.28,1293000,32.97,0.558,0.452,,14300,1/?,,0.1805,,,0.01121,,,,,,,,1.000132,1270,1,2.2,72.8,808.65,255.15,2.1,1966,EU215-605-7,4,3,0,RTECSMW8900000,,s,1,1,1s1,Colorless,Diatomic,CAS1333-74-0,CID783,Gmelin3,,,,,,Diamagnetic,,-0.000000,-0.00000,-0.000000,75,75,2.4,0.15,11,10,0.00000,0.00000,0.00000,P63/mmc,194,Inf,Inf,,2S1/2,0.332,0.011,1,1
Actinium,Ac,89,227,10070,1323.15,3473.15,Solid,1323,3473,,,14,400,,710,,,12,,,0.000023000,,,,,,,,,,3,1.1,,,,,,,,,,RTECSVW0400000,,f,,7,[Ne]3s23p2,Silver,,CAS7440-34-8,,,,,,,,,,,,,,0,,,,0,,,,Fm_3m,225,687146210,991336894,BetaDecay,2D3/2,810,0.079,9.5,3
Aluminum,Al,13,26.981538,2700,933.47,2792.15,Solid,933.47,2792,16000000.00000,,10.7,293,,757,,,235,0.000023,2375,0.000010,245000000.000000,2750000,167000000.000000,76000000000.00000,26000000000.00000,70000000000,0.35,,5100,3,1.61,42.5,673.15,918.15,4.3,1396,EU231-072-3,1,0,1,RTECSTS6460000,Aluminium,p,13,3,[Ar]4s1,Silver,,CAS7429-90-5,CID5359268,Gmelin16248,,Conductor,38000000.00000,0.00000,1.175,Paramagnetic,,0.00000,0.00000,0.000021,0.005,0.006,0.91,8.1,0,0.00009000000000000001,0.000000,0.000000,,Fm_3m,225,Inf,Inf,,2P1/2,0.233,0.03,3,13
Americium,Am,95,243,,1449.15,2284.15,Solid,1449,2284,,,,,,489,,,10,,,,,,,,,,,,,4,1.3,,,,,,,,,,RTECSYW1355000,,f,,7,[Ar]3d34s2,Silver,,CAS7440-35-9,,,,,,,0.6,,,0.000000,0.0000000,,,0,0,0,0,0,,,,P63/mmc,194,233017520000,335901000000.000000000,AlphaEmission,8S7/2,74,,9.5,9
Antimony,Sb,51,121.76,6697,903.78,1860.15,Solid,903.78,1860,,,19.7,68,,137,,,24,0.00001,6530,0.00001800,294000000.000000,3000000,,42000000000.00000,20000000000,55000000000.00000,,,3420,5,2.05,103.2,,,,,,,,,RTECSVI0780000,Stibium,p,15,5,[Xe]4f145d56s2,Silver,,CAS7440-36-0,,,,Conductor,2500000,0,,Diamagnetic,,-0.000000,-0.0000000,-0.00007,0,0,0.00001,0.00002000000000000000,0,,0.000000,0.000000,,R_3m,166,Inf,Inf,,4S3/2,5.4,0.0016,5,15
Argon,Ar,18,39.948,1.784,83.85,87.35,Gas,83.8,87.3,,150.87,1.18,6.5,,,1/?,,0.01772,,,0.022392,,,,,,,,1.000281,319,0,,0,,,2.2,1951,EU231-147-0,,,,,,p,18,3,[Xe]4f145d106s26p5,Colorless,Monoatomic,CAS7440-37-1,CID23968,Gmelin821,,,,,,Diamagnetic,,-0,-0.00000,-0.000000,0.02,0.007,,0.00015,0.00005,,0.00000,0.00000,0.000000,Fm_3m,225,Inf,Inf,,1,0.65,0.00059999999999999995,3,18
Arsenic,As,33,74.9216,5727,1090.15,887.15,Solid,1090,887,,,27.7,32.4,,233,,,50,,5220,0.00001300,1440000000.000000,3500000,,22000000000.00000,,8000000000,,1.001552,,5,2.18,78,,,6.1,1558,EU231-148-6,2,3,,RTECSNL1050000,,p,15,4,[Kr]4d105s25p1,Silver,,CAS7440-38-2,CID5359596,Gmelin16247,,Conductor,3300000,0,,Diamagnetic,,-0.00000,-0.000000,-0.000022,0.00000100000000000000,,0.00018,0.00021,0.00000,0.00000500000000000000,0.000000,0.000000,0.000000,R_3m,166,Inf,Inf,,4S3/2,4.3,0.002,4,15
Astatine,At,85,210,,575.15,,Solid,575,,5043000,,6,40,,919,,,2,,,,,,,,,,,,,7,2.2,270.1,,,,,,,,,RTECSRS2060000,,p,17,6,[He]2s22p4,Silver,,CAS7440-68-8,,,,,,,,,,,,,,,0,0,0,0,0.000000,,,,,29016,42120,BetaPlusDecay,2P3/2,,,6,17
Barium,Ba,56,137.327,3510,1000.15,2143.15,Solid,1000,2143,,,8,140,,448,,,18,0.000021,3338,0.00003900,,1250000,,9600000000.00000,4900000000.00000,13000000000.00000,,,1620,2,0.89,13.95,,,4.3,1400,EU231-149-1,1,2,2,RTECSGB4200000,,s,2,6,[Ar]3d54s1,Silver,,CAS7440-39-3,CID5355457,Gmelin16266,,Conductor,2900000,0.00000,,Paramagnetic,,0.000000,0.0000000,0.0000400,0.00000100000000000000,0.00000100000000000000,0.00027,0.034,0.00000300000000000000,0.00003000000000000000,0.000000,0.000000,,Im_3m,229,Inf,Inf,,1,1.3,0.00027,6,2
Berkelium,Bk,97,247,14780,1323.15,,Solid,1323,,,,,,,449,,,10,,,0.000017000,,,,,,,,,,4,1.3,,,,,,,,,,RTECSNO4565500,,f,,7,[Ar]3d64s2,,,CAS7440-40-6,,,,,,,,,,,,,,0,0,0,0,0,,,,P63/mmc,194,43493660000,62796140000,AlphaEmission,6H15/2,710,,9.5,11
